faq_no,subject,question,answer,note,date,up_check,print_check,カテゴリ
443,PALMiCE4にPALMiCE3のプロジェクト・ファイルを読み込むには,,"以下の手順で読み込むことができます。
１．CSIDE for PALMiCE4を起動
２．表示された[CSIDE簡易接続ウィザード]をキャンセル
３．PALMiCE3のプロジェクト・ファイルをPALMiCE4にドラッグ＆ドロップ
　　または、ファイル・メニュー &gt; [開く] &gt; [プロジェクト]で、PALMiCE3のプロジェクト・ファイルを選択
【注意】
PALMiCE4で保存したプロジェクト・ファイルは、PALMiCE3では使用できません。
今後もPALMiCE3をご利用される場合は、PALMICE4とPALMiCE3のプロジェクトを別ファイルで管理することをお勧めします。",,2023/04/27 17:20:23,True,True,JTAGエミュレータ(ARM系)
444,Error 17968 のエラーが表示されて起動できない,"CortexのJTAG(SWD)制御に失敗しました
JTAG(SWD)の制御でエラーが発生しました
JTAGSWD制御に失敗
SWD制御に失敗
2700、2702、2600","JTAG/SWD通信中にエラーが発生したとき、表示されるメッセージです。
■下記内容を確認してください
・VTref、(全ての)GND、SWDCLK、SWDIO、/SRSTが正しく接続されているか(*1)
・各信号にノイズがのっていないか
・セキュリティ機能によりデバッグ機能（JTAG/SWD通信）が禁止されていないか
■下記内容をお試しください
・JTAG/SWDクロックを一番遅いクロックまで下げてみる
・JTAG/SWDケーブルのケーブル長を短くしてみる(*1)

*1：自作ケーブルを使用している場合
　　※標準ケーブル以外をご使用の場合は、動作保証対象外となります。

◆関連FAQ
[No.000473] 【https://www.computex.co.jp/support/faq/Members/qa?no=473】初期化や更新を行ったとき、Error 17330 のエラーが発生する【/a】","2023/10/17：質問概要を変更
「Error 17968: CortexのJTAG(SWD)制御に失敗しました。」のエラーが表示されて起動できない
　↓
Error 17968 のエラーが表示されて起動できない

■メッセージ中に表示されるコード
1000~:nSRST制御
1100~:nTRST制御
1200~:ソフトウェアタプリセット
1300~:ABORTコマンドの発行
1400~:DPACCコマンドの発行
1500~:APACCコマンドの発行
1600~:IDCODEコマンドの発行
1700~:BYPASSコマンドの発行
1800~:32bitデータ送信
2000~:32bitデータ取得
2100~:初期化エントリ (JTAG制御を行う前の初期化)
2150~:動作モードの変更 (JTAG &lt;-&gt; SWD)
2200~:初期化エントリ (起動時のブレーク直前の初期化)
2300~:データ・ライト
2400~:データ・リード
2450~:Cortex-M3定番の処理アクセス関数郡
2500~:BYPASS確認
2600~:IDCODE値の取得
2700~:強制ブレーク発行
2800~:ブレークの確認
2900~:レジスタ・リード
3000~:レジスタ・ライト
3100~:メモリ・リード
3200~:メモリ・ライト
3300~:アクセス単位のメモリ・アクセス
3400~:ブロック・リード (32bitアクセス専用)
3500~:ブロック・ライト (32bitアクセス専用)
3600~:ＣＰＵブレークの設定
3700~:１命令トレース実行
3800~:ユーザ実行
3900~:特殊実行制御関数
4000~:テンポラリ・ブレークの設定
4100~:ブレーク時の全レジスタ値取得
4200~:ブレーク時の全レジスタ値設定
4300~:Cortex-M3ユーザ実行本体
4500~:SWV制御関数
4600~:TDO/SWO端子から出力された波形のスタートビット幅のサンプル数を返す
4700~:ブレーク状態でTDO/SWO端子からタイムスタンプ波形のスタートビットのサンプル数を返す
4800~:実行状態でTDO/SWO端子からタイムスタンプ波形のスタートビットのサンプル数を返す
4900~:TDO/SWO端子から出力された波形のスタートビット幅のサンプル数を返す",2025/07/09 9:41:50,True,True,"JTAGエミュレータ(ARM系)
オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
445,ブザーが鳴らなくなった,,"ブザー音は、成功音（ビー）と失敗音（ピピピ）それぞれについて鳴らすかどうかの設定ができますので、[ブザー音を鳴らさない]になっていないか確認してください。
※ブザー音の種類を変更することはできません。
■F40、FP-10
設定メニュー &gt; [C-Flashの設定] &gt; [ブザー音の設定]タブ
■FP-30
設定メニュー &gt; [ターゲットの設定] &gt; [詳細設定] &gt; [ブザー音の設定]タブ

もし、ブザー音が鳴る設定になっているにもかかわらず音が鳴らない場合は、ハードウェアの故障の可能性がります。【https://www.computex.co.jp/support/faq/Members/qa?no=403】FAQ No.403「修理はどのように申し込めばよいですか」【/a】を参考に、修理をご依頼ください。",,2023/06/07 17:43:00,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)
SPIフラッシュ専用プログラマ(FP-30)"
446,CSIDEを起動すると「18067：サポート期間が終了しています。」と表示されて起動できない,サポート期間終了日以降にリリースされたアップデート版CSIDEを使用することはできません。もし、サポート期間を更新しているのにこのメッセージが表示される場合、ライセンス・ファイルが更新されていない場合があります。ライセンス・ファイルを再取得してください。,"サポート期間が終了した後にリリースされたバージョンのCSIDEを使用した場合に表示されます。ユーザ・サポート制度へご加入いただき、最新バージョンのCSIDEをご利用いただくか、サポート期間が終了する前のバージョン(*1)をご利用ください。

*1：FAQ 【https://www.computex.co.jp/support/faq/Members/qa?no=234】No.000234【/a】をご参照ください。
",,2023/05/10 13:38:34,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)
Linuxアプリケーション・デバッガ(C-Shark)"
447,/SRST端子にリセット信号を接続できない場合どういった問題がありますか,,"/SRSTは、[更新]処理や[ハードウェアの初期化]時にターゲット・システムをリセットするために使用します。
/SRSTにリセット信号を接続しないということは、ターゲット・システムをリセットできないということなので、[更新]や[ハードウェアの初期化]のとき、起動（アタッチ）に失敗することが考えられます。稀に起動できる場合もありますが、ターゲット・システムが初期化できていないため、正常にデバッグできないことが多いです。
またマルチコアの場合は、単純な起動処理では起動（アタッチ）できないため、システム・メニューに専用の初期化やアタッチ等のメニューを用意していますが、そのメニューも/SRSTでリセットできることを前提としていますので、動作しないことが考えられます。",,2023/05/24 16:24:56,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
448,表示メニューのリアルタイム・モニタがグレーになって選択できない,,"リアルタイム・モニタ機能は、CoreSightテクノロジー(*1)を利用して実現しています。CoreSightテクノロジーを搭載していないCPUの場合は使用できないので、メニューがグレーになり選択できないようになっています。
また、リアルタイム・モニタ・ウィンドウは1つしか開くことができないため、既に表示している場合もメニューがグレー表示になります。既にリアルタイム・モニタ・ウィンドウを開いているかどうかは、ウインドウ・メニューで確認できます。

*1：CoreSightテクノロジーは、Arm株式会社の提供するシステムオンチップ(SoC)全体に対応する統合的なデバッグ/トレース・ソリューションです。",,2023/05/26 16:10:02,True,True,JTAGエミュレータ(ARM系)
449,表示メニューのコア・ベンチマークがグレーになって選択できない,コアベンチマーク,"コア・ベンチマーク機能は、CoreSightテクノロジー(*1)を利用して実現しています。CoreSightテクノロジーを搭載していないCPUの場合は使用できないので、メニューがグレーになり選択できないようになっています。
また、コア・ベンチマーク・ウィンドウは1つしか開くことができないため、既に表示している場合もメニューがグレー表示になります。既にコア・ベンチマーク・ウィンドウを開いているかどうかは、ウインドウ・メニューで確認できます。

*1：CoreSightテクノロジーは、Arm株式会社の提供するシステムオンチップ(SoC)全体に対応する統合的なデバッグ/トレース・ソリューションです。",,2023/07/13 16:44:47,True,True,JTAGエミュレータ(ARM系)
450,同じデバイスでも書き込み時間が長い時と短い時があるのはなぜですか,"SPIフラッシュ・メモリ、SPIフラッシュメモリ、シリアルNORフラッシュメモリ
フラッシュメモリプログラマ、フラッシュメモリ・ライタ、フラッシュメモリライタ、フラッシュ・ライタ、フラッシュライタ","FP本体にはデータ保持用のフラッシュメモリがありますが、C-Flashで保持しているデータ（パソコン内）と相違がある場合、FP本体のデータを更新してからターゲットのフラッシュメモリを書き換えるので、データを更新する時間が余分にかかります。同じデータを繰り返し書き込む場合は、データの更新時間が不要となるので2回目以降の書き込み時間は短くなります。
",392からFP-30を分離,2024/11/14 11:29:33,True,False,SPIフラッシュ専用プログラマ(FP-30)
451,給電機能を有効にしてコマンド・プロンプト版（FPCmd）で書き込もうとすると「Checking target power...」でNGとなり書き込みできない,"供給電源
コマンドプロンプト版、コマンド版","FPCmdに“-PD”オプションを追加してください。
例）FPCMD -PD -W -T",,2023/06/09 16:22:16,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
452,セミホスティングに対応していますか,,"ARM7、ARM9、ARM11コアのCPUのみ対応しています。Cortex系のCPUでは使用できません。
",,2023/07/12 17:07:31,True,True,JTAGエミュレータ(ARM系)
453,コア・ベンチマークを有効にしたのにプログラム実行しても画面には何も表示されさない,コアベンチマーク,"全てのコアが実行状態になっているか確認してください。コア・ベンチマーク機能は、全てのコアが実行状態になっていないと取得できません。もしデバッグ対象外のコアがある場合は、そのコアをフリーランさせておいてください。
",,2023/07/13 17:03:41,True,True,JTAGエミュレータ(ARM系)
454,コア・ベンチマークを有効にするとブレークポイントが効かなくなるし強制ブレークもできない,コアベンチマーク,"ブレーク・チェックを行うとその分サンプリング周期が遅くなるので、コア・ベンチマーク機能を使用するときはブレーク・チェックを禁止できるようになっていますが、その設定が有効になっている可能性があります。
PCウォッチャー（上段）のポップアップ・メニューの[プロパティ]で、[ブレーク・チェックを行う]と[ブレーク・チェックするコア]の設定を確認してください。

",,2023/08/30 16:32:14,True,True,JTAGエミュレータ(ARM系)
455,「起動時に実行するマクロ・ファイル」と「[ハードウェアの初期化時に実行されるマクロ・ファイル」の違いは？,,"設定メニュー &gt; [CSIDEの設定] &gt; [ファイル]にある「起動時に実行するマクロ・ファイル」で設定されたマクロ・ファイルは、プロジェクト・ファイルからの起動時に一度だけ実行されます。
ターゲット・システムの設定ウィンドウ &gt; [初期値の設定]ボタン &gt; 初期値タブの「ハードウェアの初期化時に実行されるマクロ・ファイル」に設定したマクロ・ファイルは、更新（起動）処理及びハードウェアの初期化処理時に毎回実行されます。
用途としては、ターゲットのバス設定など初期化時に設定が必要な場合は「ハードウェアの初期化時に実行されるマクロ・ファイル」に設定し、「起動時に実行するマクロ・ファイル」の方は例えばプロジェクト起動時に何らかのメッセージを一度だけ表示する場合などに使用します。
プロジェクト・ファイルに両方とも設定されている場合は、以下の順で実行されます。
①ハードウェアの初期化時に実行されるマクロ・ファイル
②起動時に実行するマクロ・ファイル",,2023/07/25 14:13:52,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
456,RZ/A1HでSPIマルチI/Oバス空間が正しく表示されないのですがどうしたらデバッグできますか,,RZ/A1Hは、内蔵ROMの初期化ルーチンを実行しないとSPIマルチI/Oバス空間(0x18000000)に正常にアクセスできない仕様になっています。0x18000000にCPUブレークを設定して実行するかカム実行することにより、初期化ルーチンが実行されてSPIマルチI/Oバス空間がアクセスできるようになりますので、プログラム内容を確認してデバッグすることができます。,,2023/07/25 14:14:08,True,True,JTAGエミュレータ(ARM系)
457,RZ/A1HでJTAGインターフェースの/TRST信号は未接続ではダメなんでしょうか,"RZ/A、RZ/G、RZ/N、RZ/T

",RZシリーズのCPUでJTAGインターフェースを使用する場合は、/TRST信号をコントロールしないといけない必要があります。詳しくは各CPUのマニュアルをご参照ください。また、当社ホームページにある【https://www.computex.co.jp/webreg/Members/vi?fl=pdf/technical/arm_if01_gijutsu.pdf】ターゲット・インターフェース技術資料【/a】にも情報が掲載されていますので、そちらも合わせてご覧ください。,,2023/08/30 15:59:37,True,True,JTAGエミュレータ(ARM系)
458,FPからターゲットボードに電源を供給するには,電源供給,"設定メニュー &gt; [ターゲットの設定] &gt; [電源/外部信号]タブで以下の設定を行います。
・[FPからターゲットに電源を供給する]を有効
・[VTref(1pin)の最低入力電圧]にVTrefの最低入力電圧を設定
・供給電圧で[3.3V(2pin)]または[5V(20 pin)]のどちらを使用するかを選択
VTref(1pin)に電圧が検出されないとすぐさま電源供給が止まりますので、【https://www.computex.co.jp/support/faq/Members/qa?no=459】VTrefの接続【/a】は必ず行ってください。",,2023/09/11 13:59:40,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
459,VTrefには何を接続すれば良いですか,,"VTrefには、ターゲットボードの電源を接続しますが、ボードの電源は仕様により「ボードに供給される電源電圧」と「CPUに供給される電圧」が異なる場合があります。また、CPUによっては「CPUに供給される電圧」が「CPUの電源」と「CPUのI/O電源」が分かれているデバイスもあります。
これらを考慮すると、電源の種類は以下の組み合わせが考えられますが、VTrefには「CPUのI/O電源」を接続してください。
例：ボードの電源　CPUの電源　CPUのI/O電源　VTref接続電圧
　　3.3V　　　　　3.3V　　　　3.3V　　　　　　3.3V
　　3.3V　　　　　3.3V　　　　1.8V　　　　　　1.8V
　　3.3V　　　　　1.8V　　　　1.8V　　　　　　1.8V
　　3.3V　　　　　1.8V　　　　3.3V　　　　　　3.3V
",,2023/08/22 13:26:14,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
460,有機ELディスプレイの表示をチェックサムの値に変更できますか,"チェックSUM、SUMチェック、ﾁｪｯｸSUM、SUMﾁｪｯｸ
チェックサム、サムチェック、ﾁｪｯｸｻﾑ、ｻﾑﾁｪｯｸｻﾑ
チェック・サム、サム・チェック
checksum、sumcheck
OLED、LCD、ディスプレイ、ディスプレー
","有機ELディスプレイの表示は様々な情報に切り替えることができ、チェックサム値の他エラーメッセージなどに切り替えることができます。表示内容の切り替えは、設定メニュー &gt; [ターゲットの設定] &gt; [有機ELディスプレイ]タブで行います。
変更方法や表示内容については、オンボード・フラッシュメモリ・プログラマFP ユーザーズ・マニュアル（PDFファイル）の「有機EL ディスプレイ表示機能」を参照してください。",,2023/08/30 14:55:50,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
461,書き込み対象エリア以外のデータが0xFFになってしまう,,"FPは、フラッシュメモリを全消去してから書き込みを行う仕様となっています。そのため、書き込み対象以外のデータは全て消去データ（0xFFなど）になります。書き込み対象以外のデータを保持しておきたい場合は、以下の操作を行ってください。
■操作手順
1. C-Flashモード（ターゲット接続）でC-Flashを起動
2. データ・メニュー &gt; [読み込み]でフラッシュメモリのデータをC-Flashのバッファに読み込む
3. ァイル・メニュー &gt; [再ロード]等で書き込み対象のデータをC-Flashのバッファに読み込む
4. データ・メニュー &gt; [書き込み]でC-Flashのバッファ内容をフラッシュメモリ（とFP本体）に書き込む",,2023/08/28 10:48:21,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)
SPIフラッシュ専用プログラマ(FP-30)"
462,書き込み後のフラッシュメモリのチェックサム値を確認するためC-Flashでチェックサムを表示したら書き込んでいたデータが消えた,"
","設定メニュー &gt; [ターゲットの設定] &gt; [プロテクト]タブの[ハードウェアの初期化時にすべてのプロテクトを解除する(*1)](*2)が有効になっていることが考えられます。チェックサムの値を取得するためにハードウェアの初期化（FPがCPUにアタッチ）を行いますが、この設定が有効になっているとハードウェアの初期化時にCPUのフラッシュメモリを消去します。

*1：CPUによって設定項目が異なります。詳しくは、「オンボード・フラッシュメモリ・プログラマFP (CPU 編)」(PDF)の各CPUのページをご参照ください。
*2：この機能は、プロテクトをかけるとSWDに関連する機能が禁止され、それを解除するにはCPUのフラッシュメモリを消去しないといけない仕様のCPUに対応するために用意されています。
",,2023/08/30 14:50:21,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
463,製品の設計寿命を教えてください,,電子部品の寿命の算出は各メーカー独自の判断基準があり、またそのファクターや計算式等が入手できないメーカが多々あるため、当社では設計寿命の提示は行っておりません。 ,"今西Pからのコメント：
内容は問題ないですが、とりあえずは非公開でお願いします。
これを見て納得しない人はコネクタの挿抜回数やメカ部の耐久回数など聞いてくると困るので。",2023/08/30 16:29:16,False,True,一般的な質問
464,プログラムを止めずにプログラム・カウンタの遷移を観察することは可能でしょうか,コアベンチマーク,コア・ベンチマーク機能を使えば、プログラムを止めずにプログラム・カウンタの値をサンプリングして表示することができます。コア・ベンチマーク機能については、CSIDEヘルプをご参照ください。,,2023/08/30 17:32:06,True,True,JTAGエミュレータ(ARM系)
465,既に動作しているボードにデバッガを後からアタッチしてデバッグすることは可能でしょうか,ホット・プラグイン,"ホットプラグインという機能を使用すれば、既に動作しているボードにPALMiCEをアタッチ（接続）してデバッグを開始することができます。ホットプラグインについて詳しくは、CSIDEヘルプをご参照ください。
また、PALMiCE4では当社ホームページの【https://www.computex.co.jp/products/palmice4/index.htm#video_description】動画説明【/a】に「PALMiCE4のホットプラグイン・デバッグ」がありますので、そちらもご覧ください。
※ホットプラグインは、PALMiCE4 ARM/ARM64/CMとPALMiCE3 RXでご使用いただけます。
",,2023/08/30 17:31:55,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
466,関数スタック・ウィンドウにPIDと表示されていますがこれは何ですか,,"RTOSを使用(*1)している場合、関数スタック・ウィンドウは、タスクまたはプロセスごとに関数の実行履歴を表示しますが、PIDはそのタスクまたはプロセス番号です。PID表示の左側にある[-]ボタンをクリックすると、表示を折りたたむことができます。

(*1)
・PALMiCE4の場合：設定メニュー &gt; [CSIDEの設定] &gt; [RTOS]タブでRTOSデバッグ機能を有効に設定
・CodeRecorderの場合：プロジェクトの作成ウィザードまたはツール・メニュー &gt; [オプション] &gt; [ターゲット・システムの設定] &gt; [OSの選択]でOSを選択

◆関連FAQ
[No.000467] 【https://www.computex.co.jp/support/faq/Members/qa?no=467】PALMiCE4が対応しているRTOSを教えてください【/a】　★PALMiCE4
[No.000356] 【https://www.computex.co.jp/support/faq/Members/qa?no=356】CodeRecorderが管理しているプロセス番号の割り当てルールが知りたい【/a】　★CodeRecorder",,2025/07/08 16:41:45,True,True,"JTAGエミュレータ(ARM系)
動的テストツール(CodeRecorder)"
467,PALMiCE4が対応しているRTOSを教えてください,,"PALMiCE4は、以下のRTOSに対応しています。
※2023年4月にRTOS/Linuxデバッグ・ライブラリは無償化されました。
■CSIDE for PALMiCE4 ARM/CM　　■CSIDE for PALMiCE4 ARM64
・Linux　　　　　　　　　　　　&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;・Linux
・FreeRTOS　　　　　　　　　　　・FreeRTOS
・NORTi Version 4　　　　　　　　&amp;nbsp;・NORTi Version 4
・NORTi Oceans　　　　　　　　　・uC3/Standard
・uC3/Compact　　　　　　　　　&amp;nbsp;・uC3/Standard(AArch64)
・uC3/Standard　　　　　　　　　&amp;nbsp;・uC3/Standard+M
・uC3/Standard+M　　　　　　　&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;・uC3/Standard+M(AArch64)
・TOPPERS/JSP　　　　　　　　　&amp;nbsp;・TOPPERS/FMP
・TOPPERS/FI4　　　　　　　　　&amp;nbsp;&amp;nbsp;・TOPPERS/FMP(AArch64)
・TOPPERS/IIMP　　　　　　　　　・TOPPERS/ASP3
・TOPPERS/ASP　　　　　　　　　&amp;nbsp;・TOPPERS/FMP3
・TOPPERS/FMP　　　　　　　　　・TOPPERS/FMP3(AArch64)
・TOPPERS/ASP3
・TOPPERS/FMP3",,2023/09/22 11:06:47,True,True,JTAGエミュレータ(ARM系)
468,FP-10からFP-40に変更するときに注意することはありますか,,"FP-40はFP-10の上位互換機なので、FP-10をFP-40に置き換えるだけで基本的には何もしなくても動作します。ただし、ハードウェア設計上は同じでも、微妙な信号のズレによりごく稀に動作しないことも考えられます。
プロジェクト・ファイルは、FP-40とFP-10のどちらでも使用できますが、起動時に接続されているハードウェアが異なるというワーニング・メッセージが表示されます。また、FP-40で拡張された機能に関する情報が含まれているプロジェクト・ファイルをFP-10で使用した場合は、ワーニング・メッセージ等が表示されることがあります。
またFP-40では、ひとつのC-Flashで複数台のFPを制御する機能はサポート外となりましたのでご注意ください。",,2024/11/22 8:43:09,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
469,別々のコアに一括でファイルをダウンロードすることはできますか,,"ファイル・サーバには、コマンドを登録する機能がありますので、コアを切り替えるコマンド(*1)を実行しながらファイルをダウンロード(*2)することにより、複数のコアに対して一括でファイルをダウンロードすることができます。
例えば、コア0からコア2まで順次切り替えながらダウンロードを行う場合、ファイル・サーバは以下のような登録になります。
?SetMultiCoreNo(0)　　　// コア0に切り替え
?test_core0.elf　　　　　&amp;nbsp;// コア0にtest_core0.elfをダウンロード
?SetMultiCoreNo(1)　　　// コア1に切り替え
?test_core1.elf　　　　　&amp;nbsp;// コア1にtest_core1.elfをダウンロード
?SetMultiCoreNo(2)　　　// コア2に切り替え
?test_core2.elf　　　　　&amp;nbsp;// コア2にtest_core2.elfをダウンロード
?SetMultiCoreNo(0)　　　// ダウンロード終了後はコア0が選択された状態にする

*1：コアを切り替えるコマンドを追加するには、次の操作を行います。
ファイル・サーバの[追加]ボタンの右にある▼をクリック &gt; [コマンドの追加] &gt; [デバッグ対象のCPUのみ切り替えます] &gt; 対象となるコアを選択 &gt; プロジェクト設定 &gt; [完了]
*2：コアごとにデバッグ情報を管理するには、ファイルのロード・ダイアログの[詳細設定] &gt; [対象コアの選択]タブにある[コア毎にシンボルを管理する]を有効にし、対象となるコアだけにチェックを付けます。",,2023/09/22 10:04:37,True,True,JTAGエミュレータ(ARM系)
470,FPで扱えるファイル形式を教えてください,"インテルヘキサ、ヘキサ・フォーマット、ヘキサフォーマット、Sフォーマット、DWARF5
ファイル・タイプ、ファイルタイプ","インテル・ヘキサ、モトローラS、バイナリに加えて、ELF/DWARF2フォーマットのファイルを読み込むことができます。
ファイルの拡張子はそれぞれ以下のとおりですが、拡張子が異なっていてもフォーマットに間違いがなければ、ファイル名を直接指定することによって読み込むことができます。
・インテル・ヘキサ：hex、mcs
・モトローラS：s、mot、srec、s37、s19
・バイナリ：bin
・ELF/DWARF2：axf、abs、out、xlo、elf、ko
また、バイナリ以外はアドレス情報が含まれているので注意が必要です。例えば、HEXファイルに含まれているアドレス情報が0x80000だった場合、フラッシュメモリの（先頭、即ち0番地ではなく）0x80000番地から書き込みを行います。",,2023/09/22 15:11:40,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)
SPIフラッシュ専用プログラマ(FP-30)"
471,USBハブを使うのを止めてパソコンとPALMiCE4を直接繋げたらPALMiCE4が認識されなくなった,"USBデバイス、USB機器、デバイス マネージャー、ユニバーサルシリアル バスコントローラー、認識不良
USB3
USB3.0、USB3.1Gen1、USB3.2Gen1&#215;1
USB3.1、USB3.1Gen2、USB3.2Gen2&#215;1
USB3.2、USB3.2Gen2&#215;2
","USBハブはUSB2.0のものを使用されていましたでしょうか。
2022年7月から2023年8月の間に出荷したPALMiCE4（またはCodeRecorder）において、パソコンとPALMiCE4（またはCodeRecorder）をUSB3.xだけで接続すると、一部の製品においてUSB機器として認識できない問題がありました(*1)。
もし、上記内容に当てはまる場合は、当社営業部までご連絡ください。

*1：現在、問題は解消しています。",,2023/10/11 10:55:13,True,True,"JTAGエミュレータ(ARM系)
動的テストツール(CodeRecorder)"
472,PALMiCE3 ARMからPALMiCE4 ARMへの変更点を教えてください,違い、コンパチ、コンパチブル、アッパーコンパチ、上位互換,"上位互換なので基本機能で使えなくなった機能はありませんが、機能拡張により一部統廃合されたものがあります（2023年10月時点）。
■PALMICE4で変更になった機能
・プログラム・モニタ・ウィンドウ　→　コアベンチマーク・ウィンドウ
・測定ウィンドウ　→　コアベンチマーク・ウィンドウ
・CPUトレース・ウィンドウ（旧CSIDE使用時）　→　関数スタック・ウィンドウ
・JTAG/SWDクロックの選択
　PALMiCE3：1KHz～40MHz の範囲で設定
　PALMiCE4：500kHz/1MHz/3.75MHz/5MHz/10MHz/20MHz/30MHz/40MHz/50MHzから選択
■PALMiCE4で追加された機能
・リアルタイム・モニタ
・RTOSコールスタック
・ランチャ
・操作ガイド",,2024/11/22 8:43:46,True,True,JTAGエミュレータ(ARM系)
473,初期化や更新を行ったとき、Error 17330 のエラーが発生する,"デバッグ対象CPUのブレークに失敗しました
CSIDE起動時のブレーク処理に失敗しました
C-Flash起動時のブレーク処理に失敗しました","CPUと通信を行う最初のところで発生しているエラーなので様々な要因が考えられますが、主だった要因としては以下のものがあります。
・CPU選択が間違っている
・JTAG(SWD)制御が許可状態になっていない
・JTAG(SWD)信号にノイズがのっている
・接続するコネクタやケーブルなど、接続に関して問題がある
・JTAG(SWD)クロックが規定値を超えている
　→ 一度、クロックを最低速度まで落としてみる
・他社製のケーブルを使用してる
　→ ピン配置が異なる(*1)ため、他社製のケーブルは使用できません
・リセットの解除時間を長くしてみる、または短くしてみる
・WDTなどリセットを繰り返すようなプログラム実行により通信が阻害されている

また、自作ケーブルを使用している場合は、以下の項目も確認してください。
※自作ケーブルをご使用の場合はサポート対象外となります。
・ケーブル長を極力短くする
・本体側のピン配置は特殊(*1)なので、ピン配置が間違っていないか確認する
・ノイズ対策のためGNDは全て接続する

*1：ピン配置は、ユーザーズ・マニュアルを参照してください。

◆関連FAQ
[No.000444] 【https://www.computex.co.jp/support/faq/Members/qa?no=444】Error 17968 のエラーが表示されて起動できない【/a】",,2025/07/09 9:26:54,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)
オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
474,RTOSのタスク・トレースでアイドル・タスクの実行状態が全域にわたって表示される,,"RTOSタスク・トレース・ウィンドウの下側にあるリスト表示の[タイム・スタンプ]列のどこかに「(Invalid)」と表示されていないでしょうか。表示されている場合は、タイマの逆転現象（時間が過去にさかのぼっている）が起こっている可能性があります。この場合、グラフ表示がおかしくなるのは他のタスクの場合もあります。
※グラフ表示がおかしい場合でも、下側のリスト表示は正常に表示されています。
■ uC3/Standardをご使用の場合
タイム・スタンプの取得は、カーネルに用意されている関数を使用していますので、OSメーカ様にお問い合わせください。その際、タイマの逆転現象の可能性があることをお伝えください。
■ その他のRTOSをご使用の場合
タイム・スタンプ取得用に作成した関数からの戻り値が逆転していることが考えられます。また、正常に1us単位の時間を返しているか確認してください。
参考：逆転現象は、タイマ割り込み時のクリティカルなタイミングで発生することがよくあります。","◎NORTiユーザへの回答例
通常タスク・トレース用のタイマはご自身で作成する必要がありますが、環境によってはミスポ社からサンプルとして提供されている場合もあります。
サンプル（tickck_read）が提供されている場合は、その関数から正確な時間が返されていないと思われますので、ミスポ社にお問い合わせください。
また、ご自身で作成されている場合は、その関数の見直しをお願いいたします。",2024/05/15 8:53:20,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
